description,price_$,decade,tag,cat
Fuck Art Let's Just Dance Stiff Records Promo Shirt,300.0,1970,,
Out Front Productions Bebop Deluxe City Boy Shirt,75.0,1970,,
Pink Floyd Milwaukee Concert Crew Shirt,750.0,1970,Pink Floyd,Music
Ramones Rocket To Russia Shirt,600.0,1970,Ramones,Music
Black Sabbath Tour Shirt,750.0,1970,Black Sabbath,Music
Jimi Hendrix Winterland Shirt,600.0,1970,Jimi Hendrix,Music
Fleetwood Mac Warner Brothers Promo Jersey Shirt,400.0,1970,Fleetwood Mac,Music
The Jacksons Sweatshirt,200.0,1970,,
The Who Showco Crew Tour Shirt,400.0,1970,The Who,Music
Jimi Hendrix Crash Landing Promo Long Sleeve Shirt,650.0,1970,Jimi Hendrix,Music
Grateful Dead No Nukes Shirt,400.0,1970,Grateful Dead,Music
War Galaxy Promo Shirt,150.0,1970,,
Peter Frampton Summer Tour Shirt,200.0,1970,,
Deep Purple Stormbringer Promo Shirt,150.0,1970,,
Midnight Sun Tower Theater Philadelphia Shirt,125.0,1970,,
Jefferson Starship Dragon Fly Shirt,200.0,1970,,
Ernest Tubb 1st Generation Shirt,100.0,1970,,
John Belushi Samurai Saturday Night Live Shirt,150.0,1970,,
The Kinks Soap Opera Shirt,200.0,1970,,
New York's Rock N Roll Memorabilia Extravaganza Shirt,150.0,1970,,
Ringo Starr Promo Shirt,300.0,1970,,
Punk Rock Threat To World Order Shirt,1.0,1970,,
Jimi Hendrix Fillmore Winterland Tie Dye Shirt,600.0,1970,Jimi Hendrix,Music
REO Speedwagon Nine Lives Showco Tour Shirt,200.0,1970,,
Warner Brothers Music Show Ediwn Shirley Trucking Shirt,200.0,1970,,
Van Halen Heart Day On The Green Shirt,300.0,1970,Van Halen,Music
Twisted Sister Live At The Palladium Shirt,400.0,1970,,
UFO Strangers In The Night World Tour Shirt,150.0,1970,,
Tom Petty And The Heartbreakers Damn The Torpedoes Shirt,400.0,1970,Tom Petty,Music
Tom Petty & The Heartbreakers Damn The Torpedoes Tour Shirt,400.0,1970,Tom Petty,Music
The Who The Kids Are Alright Shirt,300.0,1970,The Who,Music
The Who North American Tour Shirt,230.0,1970,The Who,Music
The Loop's Day In The Park Thin Lizzy Concert Shirt,175.0,1970,,
The Clash Takes The Fifth Tour Shirt,600.0,1970,The Clash,Music
The Clash Groovy Times Shirt,800.0,1970,The Clash,Music
Ted Nugent State Of Shock Shirt,150.0,1970,,
Styx Tour Shirt,100.0,1970,,
Pittsburgh Whatever It Takes Shirt,100.0,1970,,
Peter Frampton Back On The Road Tour Jersey Shirt,135.0,1970,,
P Funk Festival Parliament Funkadelic Shirt,400.0,1970,,
New Barbarians Ear To Ear Violence Shirt,250.0,1970,,
Nazareth No Mean City Shirt,100.0,1970,,
Led Zeppelin In Through The Out Door Shirt,300.0,1970,Led Zeppelin,Music
Gator Nationals NHRA Gainesville Shirt,100.0,1970,,
Funkadelic Parliament Brides Of Funkenstein Shirt,650.0,1970,,
Fleetwood Mac The Tusk Tour Jersey Shirt,300.0,1970,Fleetwood Mac,Music
Fleetwood Mac The Tusk Tour Jersey Shirt,400.0,1970,Fleetwood Mac,Music
Eagles The Long Run Promo Shirt,125.0,1970,Eagles,Music
Eagles Long Run Shirt,100.0,1970,Eagles,Music
Cheap Trick Dream Police Shirt,200.0,1970,,
Cheap Trick Dream Police Shirt,150.0,1970,,
Boothill Saloon Daytona Beach Sleeveless Shirt,40.0,1970,,
Billy Joel 52nd Street North American Tour Shirt,200.0,1970,,
Bill Graham Northern California Rock And Roll Festival Shirt,200.0,1970,,
Aerosmith Night In The Ruts Tour Jersey Shirt,400.0,1970,Aerosmith,Music
Aerosmith Night In The Ruts Shirt,400.0,1970,Aerosmith,Music
